code,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
3698,1,RODRIGUEZ R,Milan,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10629,1,ANCELOTTI,Napoli,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10662,1,ANDREAZZOLI,Empoli,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5471,1,DE PAUL R,Udinese,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
10702,1,D ANNA,Chievo,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3941,1,SALAMON B,Frosinone,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10727,1,D AVERSA,Parma,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2870,1,LIROLA P,Sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3093,1,MARIO RUI,Napoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3923,1,SALA J,Sampdoria,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2886,1,LUIZ FELIPE,Lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5552,1,DE ROSSI D,Roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5842,1,FARES M,Spal,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10316,1,SILIGARDI L ,Parma,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2753,1,KOULIBALY K,Napoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
688,1,STRAKOSHA T,Lazio,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
9947,1,PIATEK K,Genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5824,1,EVERTON L,Spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10004,1,PINAMONTI A,Frosinone,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
649,1,SPORTIELLO M,Frosinone,P,1.5,5.5,-4.0,0.0,0.0,0.0,0.0,0.0,2018-19
10016,1,PJACA M,Fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
630,1,SORRENTINO S,Chievo,P,4.5,6.5,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
10034,1,POLITANO M ,Inter,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5764,1,EKDAL A,Sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
602,1,SKORUPSKI L,Bologna,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
10103,1,PUSSETTO I ,Udinese,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10127,1,QUAGLIARELLA F,Sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5742,1,EDIMILSON F,Fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
489,1,SCUFFET S,Udinese,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
4044,1,SIMIC L,Spal,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10176,1,RONALDO C ,Juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
552,1,SIRIGU S,Torino,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
5707,1,DZEMAILI B,Bologna,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2735,1,KOLAROV A,Roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5697,1,DUNCAN A,Sassuolo,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
5011,1,BOURABIA M,Sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10231,1,SANTANDER F ,Bologna,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4030,1,SILVESTRE M,Empoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10255,1,SAU M ,Cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
517,1,SEPE L,Parma,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
5672,1,DO COSTA,Juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10286,1,SCHICK P ,Roma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
498,1,SECULIN A,Chievo,P,,,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
3648,1,RADU S,Lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9122,1,IMMOBILE C ,Lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
9102,1,ICARDI M ,Inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9092,1,IAGO F ,Torino,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1706,1,D'AMBROSIO D,Inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7836,1,STROOTMAN K ,Roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7845,1,STULAC L ,Parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1691,1,CRISCITO D,Genoa,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4736,1,BENNACER I,Empoli,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4575,1,BARILLA A,Parma,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
2060,1,DJIMSITI B,Atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7004,1,NAGY A,Bologna,C,3.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,2018-19
6983,1,MISSIROLI S,Spal,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7949,1,UNDER C ,Roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7976,1,VALDIFIORI M ,Spal,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3392,1,NKOULOU N,Torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1608,1,CIONEK T,Spal,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
