squadra,giocatore,ruolo,quotazione,partite_giocate,gol_fatti_subiti,assist,ammonizioni,espulsioni,rigori_tirati,rigori_realizzati,rigori_sbagliati,rigori_parati,media_voto,media_magic_voto,media_punti,yyss
genoa,Izzo A.,D,5.0,16.0,1.0,,2.0,,,,,,5.91,6.12,3.5,2017-18
spal,Konate P.,D,4.0,,,,,,,,,,,,,2017-18
milan,Rodriguez R.,D,10.0,33.0,1.0,,3.0,1.0,2.0,1.0,1.0,,5.79,5.76,-1.0,2017-18
genoa,Bertolacci A.,C,11.0,33.0,1.0,,6.0,1.0,,,,,5.91,5.91,,2017-18
atalanta,Hateboer H.,D,9.0,31.0,,,2.0,,,,,,5.92,5.89,-1.0,2017-18
torino,Capone M.,D,1.0,,,,,,,,,,,6.0,,2017-18
genoa,Taarabt A.,T (A),7.0,22.0,2.0,2.0,4.0,1.0,,,,,6.02,6.28,6.0,2017-18
fiorentina,Gil Dias B.,T (C),9.0,26.0,2.0,1.0,1.0,,,,,,5.7,6.04,7.5,2017-18
genoa,Galabinov A.,A,8.0,20.0,3.0,1.0,2.0,,1.0,1.0,,,5.84,6.3,9.0,2017-18
genoa,Rossettini L.,D,4.0,22.0,,,7.0,,,,,,5.59,5.46,-3.5,2017-18
roma,Manolas K.,D,15.0,28.0,2.0,,,,,,,,5.95,6.26,9.0,2017-18
fiorentina,Cerofolini M.,P,1.0,,,,,,,,,,,6.0,,2017-18
bologna,Valencia J.,T (C),2.0,,,,,,,,,,,,,2017-18
torino,Moretti E.,D,7.0,21.0,,,6.0,,,,,,5.98,5.84,-3.0,2017-18
sassuolo,Politano M.,T (A),29.0,35.0,10.0,4.0,1.0,,2.0,,2.0,,6.23,7.12,32.5,2017-18
juventus,Szczesny W.,P,13.0,17.0,,,,,,,,,6.15,5.64,-9.0,2017-18
chievo,Depaoli F.,D,5.0,19.0,,,4.0,,,,,,5.64,5.55,-2.0,2017-18
crotone,Pavlovic D.,D,4.0,10.0,,,,,,,,,5.44,5.5,,2017-18
bologna,Krafth E.,D,3.0,12.0,,,2.0,,,,,,5.21,5.12,-1.0,2017-18
sampdoria,Viviano E.,P,14.0,25.0,,,2.0,,,,,4.0,6.02,4.87,-31.0,2017-18
napoli,Milik A.,A,13.0,15.0,5.0,,2.0,,,,,,6.5,7.58,14.0,2017-18
cagliari,Castan L.,D,4.0,13.0,,1.0,4.0,,,,,,5.54,5.53,-1.0,2017-18
sampdoria,Tozzo A.,P,1.0,,,,,,,,,,,6.0,,2017-18
genoa,Bessa D.,T (C),13.0,27.0,3.0,2.0,5.0,,,,,,5.75,6.16,10.0,2017-18
udinese,Samir,D,5.0,29.0,2.0,,6.0,1.0,,,,,5.38,5.52,3.0,2017-18
inter,Ranocchia A.,D,7.0,11.0,2.0,,4.0,,,,,,6.14,6.75,5.0,2017-18
benevento,Antei L.,D,3.0,8.0,,,1.0,1.0,,,,,5.31,5.22,-1.5,2017-18
spal,Felipe,D,10.0,30.0,1.0,,6.0,1.0,,,,,5.83,5.85,0.5,2017-18
crotone,Simic S.,D,2.0,9.0,,,2.0,,,,,,5.57,5.5,-1.0,2017-18
hellas-verona,Coppola F.,P,1.0,,,,,,,,,,,6.0,,2017-18
lazio,Leiva L.,C,17.0,35.0,2.0,1.0,9.0,,,,,,6.29,6.4,4.5,2017-18
crotone,Diaby M.,T (A),2.0,2.0,,,,,,,,,5.5,5.75,,2017-18
torino,De Silvestri L.,D,18.0,34.0,5.0,2.0,3.0,1.0,,,,,5.93,6.56,22.0,2017-18
milan,Cutrone P.,A,19.0,27.0,10.0,2.0,3.0,,,,,,6.23,7.54,30.5,2017-18
torino,Ansaldi C.,D,10.0,24.0,1.0,3.0,5.0,1.0,,,,,5.96,6.12,4.0,2017-18
cagliari,Cossu A.,T (C),4.0,11.0,,1.0,,,,,,,5.42,5.64,1.0,2017-18
spal,Lazzari M.,C,15.0,36.0,2.0,1.0,4.0,,,,,,6.2,6.4,7.0,2017-18
crotone,Nalini A.,T (C),10.0,23.0,,3.0,2.0,,,,,,6.11,6.19,2.0,2017-18
hellas-verona,Danzi A.,C,2.0,3.0,,,,,,,,,5.33,5.33,,2017-18
milan,Montolivo R.,C,3.0,16.0,1.0,1.0,3.0,1.0,,,,,5.82,6.03,3.0,2017-18
benevento,Brignoli A.,P,2.0,12.0,,,2.0,,,,,,5.96,3.88,-27.0,2017-18
genoa,Rosi A.,D,5.0,23.0,,,5.0,,,,,,5.7,5.6,-2.5,2017-18
benevento,Guilherme C.,T (C),12.0,11.0,2.0,1.0,1.0,,,,,,6.09,6.71,7.5,2017-18
spal,Marchegiani G.,P,1.0,1.0,,,,,,,,,,,,2017-18
hellas-verona,Vukovic J.,D,8.0,14.0,1.0,1.0,1.0,,,,,,5.64,6.0,5.0,2017-18
cagliari,Padoin S.,C,10.0,37.0,1.0,,4.0,,,,,,5.81,5.87,2.0,2017-18
juventus,Del Sole F.,T (C),3.0,,,,,,,,,,,6.0,,2017-18
cagliari,Joao Pedro,T (C),8.0,22.0,5.0,1.0,5.0,1.0,1.0,1.0,,,5.8,6.46,15.0,2017-18
roma,Antonucci M.,T (C),2.0,,,,,,,,,,,,,2017-18
benevento,Iemmello P.,A,6.0,15.0,2.0,1.0,,,1.0,1.0,,,5.62,6.14,7.0,2017-18
benevento,Sandro R.,C,12.0,14.0,1.0,,4.0,,,,,,6.43,6.53,2.0,2017-18
sampdoria,Torreira L.,C,15.0,35.0,4.0,1.0,6.0,,,,,,6.24,6.61,14.0,2017-18
benevento,Viola N.,C,13.0,23.0,2.0,4.0,1.0,1.0,1.0,,1.0,,6.07,6.43,7.5,2017-18
milan,Donnarumma A.,P,1.0,,,,,,,,,,,6.0,,2017-18
hellas-verona,Tupta L.,A,1.0,2.0,,,,,,,,,,5.75,,2017-18
atalanta,Melegoni F.,C,2.0,,,,,,,,,,,6.0,,2017-18
lazio,Wallace,D,2.0,12.0,,,5.0,,,,,,5.27,5.04,-4.5,2017-18
milan,Mauri J.,C,3.0,1.0,,,,,,,,,,6.0,,2017-18
sassuolo,Magnanelli F.,C,8.0,31.0,,,9.0,1.0,,,,,5.81,5.63,-5.5,2017-18
udinese,Lasagna K.,A,25.0,28.0,12.0,1.0,1.0,,,,,,6.23,7.43,36.5,2017-18
juventus,Chiellini G.,D,11.0,25.0,,1.0,2.0,,,,,,6.11,6.1,,2017-18
chievo,Bastien S.,C,6.0,21.0,1.0,,2.0,1.0,,,,,5.64,5.75,2.0,2017-18
napoli,Albiol R.,D,19.0,31.0,3.0,1.0,7.0,,,,,,6.31,6.66,11.0,2017-18
bologna,Keita C.,D,4.0,3.0,,,,,,,,,5.25,5.25,,2017-18
atalanta,Palomino J.,D,11.0,24.0,1.0,,3.0,,,,,,6.23,6.33,3.0,2017-18
udinese,Balic A.,C,6.0,19.0,,1.0,2.0,,,,,,5.75,5.78,,2017-18
chievo,Sorrentino S.,P,20.0,37.0,,,2.0,,,,,3.0,6.32,5.0,-50.0,2017-18
benevento,Del Pinto L.,C,3.0,14.0,,,5.0,,,,,,5.6,5.41,-2.5,2017-18
benevento,Cotticelli A.,P,1.0,,,,,,,,,,,6.0,,2017-18
lazio,Di Gennaro D.,C,4.0,2.0,,,,,,,,,,6.0,,2017-18
hellas-verona,Bianchetti M.,D,4.0,2.0,,,1.0,,,,,,5.75,5.67,-0.5,2017-18
milan,Gomez G.,D,3.0,,,,,,,,,,,6.0,,2017-18
sassuolo,Pierini N.,T (A),2.0,3.0,,,,,,,,,5.75,5.83,,2017-18
benevento,Parigini V.,T (A),5.0,21.0,,,2.0,,,,,,5.67,5.63,-1.0,2017-18
sassuolo,Dellorco C.,D,5.0,7.0,,,,,,,,,6.08,6.07,,2017-18
benevento,Sagna B.,D,11.0,13.0,1.0,,1.0,,,,,,6.0,6.29,4.0,2017-18
lazio,Abukar M.,C,1.0,,,,,,,,,,,6.0,,2017-18
cagliari,Miangue S.,D,4.0,11.0,,1.0,1.0,1.0,,,,,5.5,5.55,,2017-18
cagliari,Caligara F.,C,1.0,1.0,,,1.0,,,,,,5.5,5.75,,2017-18
chievo,Inglese R.,A,22.0,33.0,12.0,,3.0,,2.0,1.0,1.0,,6.0,6.93,31.5,2017-18
benevento,Piscitelli R.,P,1.0,,,,,,,,,,,6.0,,2017-18
lazio,Neto P.,T (C),2.0,,,,,,,,,,,6.0,,2017-18
genoa,Salcedo E.,A,2.0,2.0,,,,,,,,,6.25,6.17,,2017-18
bologna,Helander F.,D,4.0,29.0,,,5.0,,,,,,5.61,5.52,-2.5,2017-18
hellas-verona,Calvano S.,C,4.0,12.0,,,1.0,,,,,,5.62,5.62,-0.5,2017-18
roma,Dzeko E.,A,32.0,35.0,15.0,3.0,5.0,,,,,,6.27,7.53,45.5,2017-18
genoa,Veloso M.,C,8.0,22.0,1.0,,4.0,,,,,,5.98,6.07,2.0,2017-18
lazio,Alberto L.,T (C),29.0,33.0,11.0,13.0,5.0,,2.0,1.0,1.0,,6.62,7.96,46.0,2017-18
cagliari,Andreolli M.,D,4.0,22.0,,,4.0,,,,,,5.58,5.5,-2.0,2017-18
lazio,Murgia A.,C,3.0,14.0,,,3.0,1.0,,,,,5.64,5.5,-2.5,2017-18
inter,Berni T.,P,1.0,,,,,,,,,,,6.0,,2017-18
lazio,Marusic A.,D,15.0,32.0,4.0,3.0,3.0,1.0,,,,,5.97,6.55,18.5,2017-18
juventus,Sturaro S.,C,4.0,12.0,,,1.0,,,,,,5.8,5.77,-0.5,2017-18
atalanta,Castagne T.,D,8.0,19.0,,2.0,4.0,,,,,,6.14,6.12,,2017-18
torino,Milinkovic V.,P,2.0,1.0,,,,,,,,,6.0,5.5,-1.0,2017-18
bologna,Palacio R.,T (A),13.0,28.0,4.0,2.0,9.0,,,,,,6.07,6.5,11.5,2017-18
milan,Calabria D.,D,10.0,20.0,1.0,3.0,,1.0,,,,,6.0,6.36,6.5,2017-18
torino,Berenguer A.,T (C),7.0,22.0,1.0,3.0,1.0,,,,,,5.81,6.18,6.0,2017-18
cagliari,Ceter D.,A,5.0,5.0,,,,,,,,,5.25,5.4,,2017-18
chievo,Pellissier S.,A,5.0,18.0,1.0,1.0,1.0,,,,,,5.73,6.0,3.5,2017-18
cagliari,Cragno A.,P,14.0,28.0,,,,,,,,2.0,6.2,4.84,-39.0,2017-18
atalanta,Berisha E.,P,19.0,29.0,,,,,,,,1.0,5.98,5.11,-27.0,2017-18
hellas-verona,Fares M.,T (C),2.0,30.0,,1.0,12.0,,,,,,5.43,5.23,-7.0,2017-18
benevento,Brignola E.,T (A),11.0,17.0,3.0,1.0,5.0,,,,,,6.24,6.72,9.0,2017-18
sassuolo,Mazzitelli L.,C,5.0,20.0,,1.0,4.0,,,,,,5.59,5.56,-1.0,2017-18
udinese,De Paul R.,T (C),15.0,35.0,4.0,7.0,3.0,,4.0,4.0,,,5.83,6.4,19.5,2017-18
genoa,Biraschi D.,D,7.0,22.0,,1.0,1.0,,,,,,5.81,5.84,0.5,2017-18
atalanta,Masiello A.,D,21.0,30.0,4.0,,5.0,,,,,,6.37,6.83,15.5,2017-18
hellas-verona,Laner S.,C,1.0,,,,,,,,,,,6.0,,2017-18
fiorentina,Ranieri L.,D,1.0,,,,,,,,,,,6.0,,2017-18
roma,Peres B.,D,6.0,18.0,,,1.0,,,,,,5.75,5.73,-0.5,2017-18
atalanta,De Roon M.,C,16.0,32.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,,6.11,6.3,6.5,2017-18
sassuolo,Lemos M.,D,9.0,8.0,1.0,,2.0,,,,,,5.81,6.22,3.5,2017-18
fiorentina,Saponara R.,T (C),8.0,17.0,,4.0,2.0,,,,,,5.83,6.03,3.0,2017-18
bologna,Verdi S.,T (A),25.0,34.0,10.0,8.0,2.0,,2.0,2.0,,,6.08,7.35,42.0,2017-18
juventus,Asamoah K.,D,7.0,18.0,,,3.0,,,,,,6.06,5.97,-1.5,2017-18
chievo,Leris M.,T (A),1.0,3.0,,,,,,,,,5.5,5.75,,2017-18
juventus,Pjanic M.,C,23.0,30.0,5.0,6.0,5.0,,,,,,6.35,7.03,21.5,2017-18
sassuolo,Adjapong C.,D,7.0,15.0,,,5.0,,,,,,6.11,5.93,-2.5,2017-18
crotone,Trotta M.,A,17.0,33.0,7.0,2.0,2.0,,3.0,2.0,1.0,,5.85,6.45,19.0,2017-18
spal,Floccari S.,A,10.0,20.0,3.0,,,,,,,,6.03,6.59,9.0,2017-18
napoli,Milic H.,D,4.0,,,,,,,,,,,,,2017-18
juventus,Benatia M.,D,11.0,19.0,2.0,,7.0,,,,,,6.26,6.52,5.5,2017-18
sassuolo,Berardi D.,T (A),15.0,30.0,4.0,1.0,7.0,1.0,4.0,2.0,2.0,,5.48,5.63,4.5,2017-18
bologna,Brignani F.,D,1.0,,,,,,,,,,,,,2017-18
fiorentina,Diakhate A.,C,1.0,,,,,,,,,,,6.0,,2017-18
genoa,Lapadula G.,A,14.0,27.0,5.0,1.0,4.0,,4.0,3.0,1.0,,5.7,6.13,11.0,2017-18
spal,Bonazzoli F.,A,4.0,12.0,,,,,,,,,5.58,5.58,,2017-18
roma,Nainggolan R.,C,22.0,30.0,4.0,8.0,6.0,1.0,,,,,6.14,6.77,20.0,2017-18
sampdoria,Alvarez R.,T (C),4.0,11.0,1.0,,,,,,,,5.88,6.25,3.5,2017-18
lazio,Anderson F.,T (C),19.0,20.0,3.0,4.0,,,,,,,6.42,7.1,14.5,2017-18
fiorentina,Dabo B.,C,9.0,9.0,1.0,,1.0,1.0,,,,,5.89,6.15,2.5,2017-18
milan,Locatelli M.,C,5.0,20.0,,,4.0,,,,,,5.86,5.71,-2.0,2017-18
cagliari,Farias D.,T (A),9.0,28.0,1.0,3.0,4.0,,1.0,,1.0,,5.67,5.74,1.5,2017-18
sassuolo,Duncan A.,C,9.0,26.0,,1.0,4.0,,,,,,5.88,5.85,-1.0,2017-18
torino,Burdisso N.,D,6.0,23.0,,,6.0,,,,,,5.8,5.67,-3.0,2017-18
napoli,Hysaj E.,D,12.0,35.0,,1.0,2.0,1.0,,,,,6.03,6.0,-1.0,2017-18
atalanta,Rizzo L.,C,4.0,11.0,2.0,,,,,,,,6.0,6.67,8.0,2017-18
genoa,El Yamiq J.,D,5.0,4.0,,,,,,,,,5.88,5.9,,2017-18
bologna,Crisetig L.,C,4.0,8.0,,,4.0,,,,,,5.75,5.5,-2.0,2017-18
juventus,Dybala P.,T (A),39.0,32.0,22.0,4.0,,,5.0,3.0,2.0,,6.44,8.7,75.0,2017-18
genoa,Perin M.,P,18.0,36.0,,,1.0,,,,,,6.26,5.14,-41.5,2017-18
genoa,Zima L.,P,1.0,,,,,,,,,,,6.0,,2017-18
udinese,Larsen J.,D,8.0,28.0,1.0,1.0,5.0,,,,,,5.76,5.88,3.0,2017-18
cagliari,Farago P.,C,13.0,34.0,2.0,5.0,2.0,,,,,,5.95,6.32,12.0,2017-18
napoli,Rafael C.,P,1.0,,,,,,,,,,,,,2017-18
milan,Zapata C.,D,5.0,12.0,,,2.0,,,,,,5.95,5.88,-1.0,2017-18
fiorentina,Simeone G.,A,27.0,37.0,13.0,4.0,3.0,,,,,,5.91,7.0,41.5,2017-18
udinese,Pezzella G.,D,4.0,13.0,,,3.0,1.0,,,,,5.5,5.39,-2.5,2017-18
sampdoria,Bereszynski B.,D,7.0,29.0,,1.0,5.0,,,,,,5.74,5.71,-1.5,2017-18
roma,Pellegrini L.,C,16.0,27.0,3.0,2.0,2.0,1.0,,,,,6.08,6.54,12.0,2017-18
milan,Antonelli L.,D,4.0,6.0,,,1.0,,,,,,5.17,5.25,-0.5,2017-18
fiorentina,Illanes J.,D,1.0,,,,,,,,,,,6.0,,2017-18
juventus,Rugani D.,D,10.0,22.0,2.0,1.0,3.0,,,,,,6.0,6.37,8.5,2017-18
sampdoria,Balde I.,A,1.0,,,,,,,,,,,6.0,,2017-18
bologna,Gonzalez G.,D,4.0,22.0,,,4.0,2.0,,,,,5.66,5.48,-4.0,2017-18
juventus,Higuain G.,A,30.0,34.0,15.0,2.0,4.0,,2.0,1.0,1.0,,6.11,7.38,42.0,2017-18
bologna,Santurro A.,P,2.0,1.0,,,1.0,,,,,,6.0,4.5,-1.5,2017-18
bologna,Poli A.,C,9.0,32.0,2.0,,8.0,1.0,,,,,5.87,5.97,3.0,2017-18
crotone,Barberis A.,C,12.0,37.0,2.0,1.0,1.0,,,,,,5.84,6.07,8.5,2017-18
udinese,Fofana S.,C,13.0,26.0,3.0,,4.0,1.0,1.0,1.0,,,5.71,6.05,9.0,2017-18
napoli,Tonelli L.,D,6.0,4.0,1.0,,,,,,,,5.62,6.75,4.5,2017-18
sassuolo,Sensi S.,C,7.0,17.0,2.0,,2.0,,,,,,6.0,6.41,7.0,2017-18
sassuolo,Goldaniga E.,D,4.0,12.0,1.0,,3.0,2.0,,,,,5.88,5.96,1.0,2017-18
lazio,Parolo M.,C,17.0,30.0,4.0,4.0,2.0,1.0,,,,,6.14,6.71,18.0,2017-18
atalanta,Bastoni A.,D,2.0,4.0,,,,,,,,,6.0,6.0,,2017-18
hellas-verona,Fossati M.,C,4.0,16.0,,,5.0,,,,,,5.67,5.53,-2.5,2017-18
torino,Bonifazi K.,D,4.0,5.0,,,,,,,,,5.7,5.75,,2017-18
sassuolo,Matri A.,A,6.0,23.0,3.0,,1.0,,3.0,1.0,2.0,,5.66,5.8,2.5,2017-18
sassuolo,Peluso F.,D,8.0,30.0,1.0,1.0,10.0,,,,,,5.77,5.79,0.5,2017-18
sassuolo,Marson L.,P,1.0,,,,,,,,,,,6.0,,2017-18
inter,Vecino M.,C,11.0,29.0,3.0,2.0,7.0,1.0,,,,,5.82,6.16,9.5,2017-18
sampdoria,Murru N.,D,4.0,18.0,,2.0,4.0,,,,,,5.59,5.63,,2017-18
genoa,Omeonga S.,C,4.0,18.0,,,2.0,1.0,,,,,5.88,5.73,-2.0,2017-18
benevento,Cataldi D.,C,10.0,29.0,1.0,3.0,9.0,1.0,,,,,5.84,5.9,1.5,2017-18
roma,Kolarov A.,D,17.0,34.0,2.0,7.0,3.0,,,,,,6.22,6.63,14.5,2017-18
spal,Antenucci M.,A,27.0,33.0,11.0,5.0,1.0,,5.0,5.0,,,6.28,7.45,37.5,2017-18
napoli,Insigne L.,T (A),31.0,37.0,8.0,9.0,4.0,,1.0,1.0,,,6.57,7.51,35.0,2017-18
chievo,Vignato E.,T (C),1.0,,,,,,,,,,,6.0,,2017-18
spal,Paloschi A.,A,17.0,36.0,7.0,,2.0,,,,,,5.77,6.38,20.0,2017-18
fiorentina,Lo Faso S.,T (A),3.0,2.0,,,,,,,,,6.0,5.83,,2017-18
sampdoria,Sala J.,D,3.0,13.0,,,1.0,1.0,,,,,5.38,5.37,-1.5,2017-18
sassuolo,Rogerio O.,D,4.0,13.0,,,4.0,,,,,,5.77,5.62,-2.0,2017-18
juventus,Cuadrado J.,T (C),15.0,21.0,4.0,6.0,5.0,,,,,,6.42,7.24,17.5,2017-18
crotone,Zanellato N.,C,1.0,,,,,,,,,,,6.0,,2017-18
sampdoria,Tomic M.,D,1.0,,,,,,,,,,,6.0,,2017-18
hellas-verona,Valoti M.,T (C),9.0,25.0,3.0,,9.0,,,,,,5.69,5.94,6.0,2017-18
genoa,Spolli N.,D,8.0,21.0,,,7.0,,,,,,6.05,5.89,-3.5,2017-18
crotone,Tumminello M.,A,7.0,9.0,3.0,,1.0,,,,,,6.1,7.5,8.5,2017-18
hellas-verona,Bearzotti E.,C,2.0,6.0,,,,,,,,,5.3,5.43,,2017-18
udinese,Hallfredsson E.,C,5.0,17.0,,,4.0,,,,,,5.75,5.53,-3.5,2017-18
hellas-verona,Buchel M.,C,4.0,22.0,,,8.0,,,,,,5.6,5.43,-4.0,2017-18
spal,Artioli F.,C,1.0,,,,,,,,,,,,,2017-18
sampdoria,Krapikas T.,P,1.0,,,,,,,,,,,6.0,,2017-18
atalanta,Ilicic J.,T (C),29.0,30.0,11.0,6.0,3.0,,2.0,2.0,,,6.55,7.86,43.0,2017-18
chievo,Jaroszynski P.,D,4.0,11.0,,,3.0,,,,,,5.5,5.41,-1.5,2017-18
sassuolo,Babacar K.,A,16.0,28.0,6.0,2.0,1.0,,3.0,3.0,,,5.75,6.45,19.5,2017-18
milan,Borini F.,T (A),9.0,28.0,2.0,1.0,4.0,,,,,,5.77,6.07,6.5,2017-18
bologna,De Maio S.,D,7.0,26.0,2.0,,8.0,,,,,,5.64,5.76,3.0,2017-18
spal,Vicari F.,D,6.0,34.0,,1.0,10.0,1.0,,,,,5.79,5.53,-9.0,2017-18
sassuolo,Cassata F.,C,3.0,9.0,,,3.0,1.0,,,,,5.33,5.14,-2.0,2017-18
crotone,Stoian A.,T (C),10.0,32.0,2.0,2.0,5.0,,,,,,5.76,5.98,6.5,2017-18
crotone,Budimir A.,A,7.0,21.0,6.0,,8.0,,,,,,5.86,6.5,14.0,2017-18
juventus,Lichtsteiner S.,D,7.0,26.0,,2.0,6.0,,1.0,,1.0,,5.76,5.6,-4.0,2017-18
atalanta,Freuler R.,C,22.0,34.0,5.0,1.0,4.0,1.0,,,,,6.29,6.78,18.0,2017-18
sassuolo,Ragusa A.,T (A),6.0,29.0,,1.0,6.0,,,,,,5.68,5.62,-1.5,2017-18
sassuolo,Lirola P.,D,6.0,23.0,,1.0,2.0,,,,,,5.86,5.85,,2017-18
benevento,Tosca A.,D,8.0,12.0,,,1.0,,,,,,6.0,5.96,-0.5,2017-18
bologna,Avenatti F.,A,3.0,11.0,,,1.0,,,,,,5.19,5.17,-0.5,2017-18
napoli,Allan M.,C,21.0,38.0,4.0,3.0,2.0,,,,,,6.43,6.92,18.0,2017-18
milan,Musacchio M.,D,5.0,15.0,,,3.0,,,,,,5.64,5.57,-1.5,2017-18
atalanta,Cornelius A.,A,10.0,21.0,3.0,1.0,,,,,,,5.97,6.45,10.0,2017-18
sampdoria,Ramirez G.,T (C),14.0,35.0,3.0,6.0,8.0,,,,,,5.82,6.18,12.5,2017-18
chievo,Cacciatore F.,D,11.0,32.0,2.0,2.0,4.0,1.0,,,,,5.95,6.2,8.0,2017-18
sampdoria,Belec V.,P,5.0,15.0,,,1.0,1.0,,,,,5.9,3.81,-33.5,2017-18
sassuolo,Acerbi F.,D,15.0,37.0,,,4.0,,,,,,6.07,5.96,-4.0,2017-18
milan,Donnarumma G.,P,19.0,37.0,,,2.0,,,,,,6.05,4.89,-44.0,2017-18
roma,Corlu R.,T (C),1.0,,,,,,,,,,,6.0,,2017-18
milan,Gabbia M.,D,1.0,,,,,,,,,,,6.0,,2017-18
udinese,Borsellini D.,P,1.0,,,,,,,,,,,6.0,,2017-18
atalanta,Rossi F.,P,2.0,1.0,,,,,,,,,,5.67,-1.0,2017-18
cagliari,Deiola A.,C,3.0,12.0,,,3.0,,,,,,5.44,5.33,-1.5,2017-18
spal,Schiattarella P.,C,11.0,31.0,1.0,4.0,12.0,,,,,,6.04,6.11,2.0,2017-18
juventus,Bentancur R.,C,4.0,20.0,,,,,,,,,5.85,5.86,,2017-18
sampdoria,Andersen J.,D,5.0,6.0,,,,,,,,,5.8,5.86,,2017-18
torino,Acquah A.,C,6.0,22.0,1.0,,3.0,1.0,,,,,5.63,5.75,1.5,2017-18
benevento,Gyamfi B.,D,3.0,9.0,,,1.0,,,,,,5.67,5.64,-0.5,2017-18
fiorentina,Zekhnini R.,T (C),4.0,1.0,,,,,,,,,,6.0,,2017-18
crotone,Capuano M.,D,6.0,25.0,,,5.0,1.0,,,,,5.73,5.6,-3.5,2017-18
torino,Baselli D.,C,16.0,31.0,4.0,,11.0,1.0,,,,,5.9,6.21,9.5,2017-18
inter,Santon D.,D,4.0,15.0,,,2.0,,,,,,5.58,5.54,-1.0,2017-18
torino,Nkoulou N.,D,15.0,37.0,2.0,,4.0,,,,,,6.09,6.28,7.0,2017-18
inter,Gagliardini R.,C,8.0,29.0,,,8.0,,,,,,5.87,5.72,-4.0,2017-18
sampdoria,Verre V.,C,4.0,17.0,,,2.0,,,,,,5.62,5.6,-1.0,2017-18
roma,Fazio F.,D,15.0,33.0,2.0,,6.0,,,,,,6.09,6.27,6.0,2017-18
benevento,Billong J.,D,3.0,5.0,,,,,,,,,5.2,5.33,,2017-18
benevento,Dalessandro M.,T (C),4.0,15.0,1.0,1.0,1.0,,,,,,6.17,6.41,4.0,2017-18
roma,Karsdorp R.,D,4.0,1.0,,,,,,,,,6.0,6.0,,2017-18
juventus,Barzagli A.,D,9.0,24.0,,1.0,2.0,,,,,,6.08,5.98,-2.0,2017-18
atalanta,Cristante B.,C,23.0,34.0,9.0,3.0,3.0,,1.0,,1.0,,6.21,7.11,34.5,2017-18
bologna,Dzemaili B.,C,12.0,15.0,1.0,,4.0,,,,,,5.67,5.8,2.0,2017-18
udinese,Pontisso S.,C,1.0,1.0,,,,,,,,,,6.0,,2017-18
inter,Perisic I.,T (C),27.0,36.0,11.0,8.0,3.0,,,,,,6.01,7.23,45.0,2017-18
milan,Conti A.,D,3.0,2.0,,,,,,,,,6.25,6.17,,2017-18
sampdoria,Caprari G.,A,11.0,32.0,4.0,1.0,4.0,1.0,,,,,5.73,6.06,10.0,2017-18
hellas-verona,Kean M.,A,5.0,19.0,4.0,,5.0,,,,,,5.68,6.18,9.5,2017-18
juventus,Alex Sandro,D,20.0,25.0,4.0,3.0,7.0,,,,,,6.04,6.71,17.5,2017-18
roma,Schick P.,A,10.0,21.0,2.0,,,,,,,,5.56,5.94,6.0,2017-18
inter,Dambrosio D.,D,13.0,33.0,2.0,3.0,6.0,,,,,,5.76,6.03,9.0,2017-18
crotone,Sampirisi M.,D,6.0,30.0,,,2.0,,,,,,5.67,5.64,-1.0,2017-18
roma,Capradossi E.,D,3.0,2.0,,,,,,,,,6.0,6.0,,2017-18
napoli,Ghoulam F.,D,4.0,11.0,2.0,3.0,1.0,,,,,,6.91,7.95,11.5,2017-18
chievo,Pucciarelli M.,A,7.0,22.0,2.0,,3.0,,,,,,5.68,5.92,4.5,2017-18
napoli,Chiriches V.,D,4.0,7.0,,,1.0,,,,,,6.07,6.0,-0.5,2017-18
udinese,Barak A.,C,20.0,32.0,7.0,4.0,5.0,,,,,,6.17,7.03,29.5,2017-18
chievo,Dainelli D.,D,6.0,20.0,,,4.0,,,,,,6.05,5.95,-2.0,2017-18
cagliari,Han K.,A,4.0,7.0,,,,,,,,,5.6,5.67,,2017-18
cagliari,Rafael A.,P,4.0,10.0,,,1.0,,,,,,6.15,5.09,-11.5,2017-18
fiorentina,Benassi M.,C,16.0,34.0,5.0,2.0,6.0,,,,,,5.85,6.4,19.0,2017-18
napoli,Rog M.,C,4.0,28.0,1.0,,2.0,,,,,,6.0,6.33,3.0,2017-18
chievo,Minic P.,T (A),4.0,,,,,,,,,,,6.0,,2017-18
bologna,Masina A.,D,6.0,34.0,,1.0,8.0,1.0,,,,,5.59,5.47,-4.0,2017-18
chievo,Castro L.,C,12.0,24.0,3.0,2.0,3.0,,,,,,6.19,6.68,12.5,2017-18
milan,Kalinic N.,A,19.0,30.0,6.0,3.0,3.0,,,,,,5.73,6.41,19.5,2017-18
chievo,Gamberini A.,D,5.0,22.0,,,2.0,,,,,,5.73,5.7,-1.0,2017-18
inter,Lopez L.,D,4.0,1.0,,,,,,,,,5.5,5.75,,2017-18
chievo,Tanasijevic S.,D,2.0,,,,,,,,,,,6.0,,2017-18
chievo,Radovanovic I.,C,12.0,34.0,1.0,1.0,6.0,1.0,,,,,6.06,6.09,1.0,2017-18
atalanta,Barrow M.,A,11.0,11.0,3.0,1.0,,,,,,,6.56,7.45,10.0,2017-18
cagliari,Tetteh J.,C,1.0,,,,,,,,,,,6.0,,2017-18
