Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
juventus,Nicolussi Caviglia H.,C,1.0,2.0,,,,,,,,,5.75,5.75,,2018-19
empoli,Mchedlidze L.,A,5.0,6.0,,1.0,1.0,,,,,,5.75,5.83,0.5,2018-19
lazio,Lulic S.,C,19.0,35.0,4.0,1.0,5.0,,,,,,6.02,6.44,14.7,2018-19
sampdoria,Colley O.,D,9.0,21.0,,,,1.0,,,,,5.97,5.93,-0.8,2018-19
roma,Bianda W.,D,2.0,,,,,,,,,,,,,2018-19
roma,Fazio F.,D,19.0,33.0,5.0,,6.0,,,,,,5.83,6.42,19.5,2018-19
sassuolo,Magnanelli F.,C,10.0,22.0,,,3.0,1.0,,,,,6.0,5.88,-2.6,2018-19
bologna,Danilo L.,D,13.0,35.0,1.0,,4.0,,,,,,5.92,6.0,2.8,2018-19
genoa,Zukanovic E.,D,7.0,24.0,,,5.0,,,,,,5.7,5.6,-2.4,2018-19
inter,Brozovic M.,C,14.0,32.0,2.0,1.0,10.0,1.0,,,,,5.96,6.06,3.2,2018-19
juventus,Matuidi B.,C,17.0,30.0,3.0,2.0,5.0,,,,,,6.1,6.48,11.4,2018-19
bologna,Dzemaili B.,C,11.0,27.0,1.0,1.0,4.0,,,,,,5.75,5.87,3.2,2018-19
parma,Machin J.,C,6.0,2.0,,1.0,,,,,,,5.5,6.0,1.0,2018-19
udinese,Nicolas A.,P,1.0,,,,,,,,,,,,,2018-19
parma,Gazzola M.,D,8.0,15.0,1.0,,3.0,,,,,,5.86,6.06,3.0,2018-19
lazio,Acerbi F.,D,16.0,37.0,3.0,,3.0,1.0,,,,,6.04,6.33,10.7,2018-19
bologna,Destro M.,A,18.0,10.0,4.0,1.0,3.0,,,,,,5.9,7.05,11.5,2018-19
cagliari,Joao Pedro G.,T (C),19.0,33.0,7.0,3.0,4.0,1.0,2.0,2.0,,,5.93,6.68,24.7,2018-19
parma,Dezi J.,C,4.0,1.0,,,,,,,,,6.5,6.5,,2018-19
torino,Berenguer A.,T (C),13.0,21.0,2.0,3.0,3.0,,,,,,6.02,6.4,8.4,2018-19
lazio,Marusic A.,D,13.0,25.0,1.0,1.0,2.0,1.0,,,,,5.64,5.78,3.5,2018-19
sampdoria,Tonelli L.,D,7.0,19.0,1.0,,5.0,,,,,,5.86,5.86,,2018-19
juventus,Ronaldo C.,A,52.0,31.0,21.0,7.0,3.0,,6.0,5.0,1.0,,6.67,8.79,65.7,2018-19
udinese,Behrami V.,C,10.0,18.0,1.0,,6.0,,,,,,5.94,6.0,1.1,2018-19
bologna,Sansone N.,T (A),19.0,14.0,2.0,4.0,3.0,1.0,,,,,6.1,6.71,8.5,2018-19
spal,Salvi M.,D,1.0,,,,,,,,,,,,,2018-19
parma,Dimarco F.,D,6.0,11.0,1.0,,4.0,,,,,,5.9,6.13,2.5,2018-19
genoa,Dalmonte N.,T (A),4.0,1.0,,,,,,,,,6.0,6.0,,2018-19
udinese,Ingelsson S.,C,4.0,3.0,,,,,,,,,5.66,5.66,,2018-19
lazio,Cataldi D.,C,11.0,11.0,2.0,1.0,2.0,,,,,,6.18,6.9,7.9,2018-19
lazio,Berisha V.,C,9.0,4.0,,,,,,,,,6.0,6.0,,2018-19
udinese,Troost-ekong W.,D,10.0,35.0,,,4.0,,,,,,5.9,5.84,-2.1,2018-19
lazio,Jordao B.,C,1.0,2.0,,,,,,,,,5.75,5.75,,2018-19
chievo,Giaccherini E.,T (C),14.0,26.0,3.0,1.0,8.0,,2.0,1.0,1.0,,6.0,6.09,2.3,2018-19
frosinone,Sammarco P.,C,6.0,8.0,1.0,,1.0,,,,,,5.81,6.25,3.5,2018-19
sassuolo,Bourabia M.,C,11.0,31.0,1.0,,7.0,1.0,,,,,5.96,5.95,-0.3,2018-19
bologna,Donsah G.,C,4.0,2.0,,,,,,,,,5.0,5.0,,2018-19
bologna,Nagy A.,C,4.0,12.0,,,2.0,1.0,,,,,5.3,5.15,-1.9,2018-19
cagliari,Farago P.,D,9.0,24.0,1.0,1.0,7.0,1.0,,,,,5.79,5.83,0.9,2018-19
napoli,Karnezis O.,P,11.0,9.0,,,,,,,,,6.22,5.44,-7.0,2018-19
cagliari,Srna D.,D,11.0,26.0,,4.0,5.0,1.0,,,,,5.8,5.82,0.5,2018-19
cagliari,Pellegrini L.,D,5.0,16.0,,2.0,4.0,1.0,,,,,5.71,5.65,-1.0,2018-19
lazio,Correa C.,T (C),22.0,34.0,5.0,5.0,5.0,,,,,,6.22,6.8,19.7,2018-19
frosinone,Pinamonti A.,A,14.0,25.0,5.0,3.0,2.0,,,,,,5.92,6.6,17.0,2018-19
napoli,Hysaj E.,D,10.0,25.0,,2.0,4.0,,,,,,5.76,5.76,,2018-19
atalanta,Varnier M.,D,4.0,,,,,,,,,,,,,2018-19
fiorentina,Milenkovic N.,D,13.0,34.0,3.0,,7.0,1.0,,,,,5.91,6.17,8.9,2018-19
sampdoria,Ramirez G.,T (C),17.0,26.0,4.0,4.0,6.0,1.0,,,,,5.82,6.36,14.1,2018-19
atalanta,Castagne T.,D,19.0,26.0,4.0,2.0,3.0,,,,,,6.23,6.94,18.4,2018-19
spal,Jankovic M.,T (C),9.0,3.0,,,1.0,,,,,,6.0,5.83,-0.5,2018-19
fiorentina,Montiel C.,T (C),1.0,,,,,,,,,,6.0,6.0,,2018-19
cagliari,Padoin S.,C,9.0,27.0,,1.0,2.0,,,,,,5.85,5.85,,2018-19
torino,Aina O.,D,10.0,29.0,1.0,3.0,4.0,1.0,,,,,5.79,5.94,4.4,2018-19
spal,Schiattarella P.,C,11.0,26.0,,4.0,10.0,,,,,,5.88,5.84,-1.1,2018-19
udinese,Dalessandro M.,T (C),8.0,20.0,,2.0,3.0,,,,,,5.9,5.92,0.4,2018-19
inter,Dambrosio D.,D,13.0,29.0,2.0,4.0,6.0,,,,,,5.72,6.06,9.8,2018-19
fiorentina,Pezzella G.,D,14.0,32.0,2.0,1.0,6.0,,,,,,6.06,6.21,4.8,2018-19
roma,De Rossi D.,C,14.0,17.0,1.0,1.0,3.0,,,,,,5.94,6.14,3.4,2018-19
sampdoria,Sala J.,D,6.0,19.0,,1.0,4.0,,,,,,5.78,5.73,-0.9,2018-19
spal,Fares M.,C,12.0,35.0,3.0,,12.0,,,,,,5.94,6.11,6.0,2018-19
milan,Montolivo R.,C,4.0,,,,,,,,,,6.0,6.0,,2018-19
chievo,Kiyine S.,T (C),7.0,14.0,,,6.0,,,,,,5.86,5.73,-1.9,2018-19
roma,Florenzi A.,D,18.0,29.0,3.0,2.0,4.0,1.0,,,,,5.98,6.41,12.5,2018-19
parma,Frattali P.,P,1.0,1.0,,,,,,,,,6.5,4.5,-2.0,2018-19
cagliari,Castro L.,C,17.0,12.0,1.0,3.0,1.0,,,,,,6.12,6.66,6.5,2018-19
genoa,Lakicevic I.,D,4.0,,,,,,,,,,6.0,6.0,,2018-19
lazio,Milinkovic S.,C,23.0,31.0,5.0,3.0,7.0,1.0,,,,,5.72,6.32,18.6,2018-19
juventus,Douglas Costa d.,T (C),22.0,13.0,1.0,,1.0,1.0,,,,,5.92,6.07,1.9,2018-19
frosinone,Beghetto A.,C,8.0,26.0,,3.0,3.0,,,,,,5.78,5.84,1.5,2018-19
bologna,Skorupski L.,P,15.0,38.0,,,1.0,,,,,,6.06,4.57,-56.6,2018-19
udinese,De Paul R.,T (C),23.0,36.0,9.0,7.0,7.0,,6.0,3.0,3.0,,6.08,6.8,25.9,2018-19
frosinone,Maiello R.,C,8.0,27.0,,,4.0,,,,,,5.75,5.68,-1.9,2018-19
frosinone,Ciano C.,T (A),18.0,32.0,7.0,4.0,12.0,,3.0,2.0,1.0,,5.95,6.56,19.5,2018-19
atalanta,Colpani A.,C,1.0,,,,,,,,,,,,,2018-19
juventus,Spinazzola L.,D,7.0,8.0,,1.0,,,,,,,6.12,6.25,1.0,2018-19
inter,Perisic I.,T (C),24.0,34.0,8.0,4.0,5.0,,2.0,2.0,,,5.83,6.64,27.6,2018-19
genoa,Kouame C.,A,17.0,38.0,4.0,4.0,4.0,,,,,,6.1,6.47,14.1,2018-19
milan,Suso J.,T (A),23.0,35.0,6.0,9.0,8.0,1.0,,,,,6.08,6.8,25.2,2018-19
torino,Rincon T.,C,14.0,33.0,3.0,,15.0,,,,,,6.18,6.31,4.3,2018-19
napoli,Mario Rui S.,D,12.0,19.0,1.0,1.0,4.0,1.0,,,,,5.92,6.05,2.5,2018-19
napoli,Albiol R.,D,14.0,19.0,1.0,,4.0,,,,,,5.73,5.86,2.4,2018-19
roma,Pellegrini L.,C,18.0,25.0,3.0,4.0,6.0,,,,,,6.12,6.64,13.0,2018-19
torino,Moretti E.,D,10.0,23.0,,,5.0,,,,,,6.1,6.0,-2.3,2018-19
sampdoria,Peeters D.,C,1.0,,,,,,,,,,6.0,6.0,,2018-19
fiorentina,Norgaard C.,C,5.0,6.0,,,,,,,,,5.64,5.64,,2018-19
empoli,Provedel I.,P,6.0,16.0,,,,,,,,,5.84,3.59,-36.0,2018-19
empoli,Rasmussen J.,D,4.0,13.0,,1.0,3.0,,,,,,5.38,5.34,-0.5,2018-19
juventus,Khedira S.,C,23.0,10.0,2.0,,,,,,,,6.05,6.85,8.0,2018-19
sampdoria,Quagliarella F.,A,46.0,37.0,26.0,7.0,1.0,,10.0,9.0,1.0,,6.62,8.82,81.4,2018-19
spal,Nikolic L.,T (C),1.0,,,,,,,,,,,,,2018-19
torino,Iago F.,T (A),28.0,25.0,6.0,4.0,1.0,,,,,,6.26,7.24,24.5,2018-19
frosinone,Goldaniga E.,D,7.0,29.0,1.0,1.0,6.0,,,,,,5.62,5.7,2.3,2018-19
udinese,Micin P.,T (A),4.0,,,,,,,,,,,,,2018-19
fiorentina,Benassi M.,C,18.0,31.0,7.0,,4.0,1.0,,,,,5.9,6.7,24.8,2018-19
juventus,Mandzukic M.,A,26.0,25.0,9.0,6.0,4.0,,,,,,6.28,7.52,31.0,2018-19
chievo,Tomovic N.,D,7.0,10.0,1.0,,1.0,,,,,,5.65,6.05,4.0,2018-19
torino,Lukic S.,C,10.0,16.0,2.0,,5.0,,,,,,6.18,6.53,5.6,2018-19
parma,Di Maggio A.,D,1.0,,,,,,,,,,,,,2018-19
inter,Joao Mario -.,T (C),11.0,17.0,1.0,1.0,2.0,,,,,,5.91,6.11,3.4,2018-19
udinese,Wilmot B.,C,3.0,3.0,,,,,,,,,5.0,5.0,,2018-19
empoli,Silvestre M.,D,12.0,34.0,2.0,,6.0,,,,,,5.88,6.0,4.1,2018-19
parma,Bastoni A.,D,10.0,20.0,1.0,,2.0,,,,,,6.0,6.17,3.4,2018-19
spal,Missiroli S.,C,11.0,34.0,,,9.0,,,,,,6.07,5.94,-4.4,2018-19
inter,Colidio F.,A,1.0,,,,,,,,,,,,,2018-19
napoli,Callejon J.,T (A),26.0,33.0,3.0,10.0,1.0,,,,,,6.24,6.84,19.8,2018-19
inter,Salcedo E.,A,1.0,,,,,,,,,,,,,2018-19
chievo,Rigoni N.,C,5.0,23.0,,1.0,8.0,1.0,,,,,5.65,5.47,-4.2,2018-19
milan,Caldara M.,D,7.0,,,,,,,,,,6.0,6.0,,2018-19
cagliari,Doratiotto R.,T (A),2.0,1.0,,,,,,,,,5.5,5.5,,2018-19
spal,Fulignati A.,P,1.0,,,,,,,,,,,,,2018-19
lazio,Luiz Felipe R.,D,10.0,17.0,1.0,1.0,4.0,,,,,,5.94,6.14,3.4,2018-19
genoa,Pandev G.,T (A),18.0,23.0,4.0,2.0,5.0,,,,,,6.04,6.63,13.6,2018-19
milan,Donnarumma G.,P,24.0,35.0,,,4.0,,,,,1.0,6.31,5.45,-30.1,2018-19
napoli,Milik A.,A,30.0,35.0,17.0,2.0,4.0,,,,,,6.05,7.51,51.1,2018-19
inter,Nainggolan R.,T (C),23.0,28.0,6.0,3.0,3.0,,,,,,6.1,6.91,22.7,2018-19
chievo,Tanasijevic S.,D,1.0,1.0,,,,1.0,,,,,4.5,3.5,-1.0,2018-19
lazio,Lukaku J.,D,7.0,7.0,,,1.0,,,,,,5.85,5.78,-0.5,2018-19
genoa,Criscito D.,D,16.0,35.0,2.0,4.0,11.0,1.0,1.0,1.0,,,6.0,6.18,6.3,2018-19
torino,Izzo A.,D,22.0,37.0,4.0,1.0,6.0,,,,,,6.36,6.79,15.9,2018-19
napoli,Koulibaly K.,D,22.0,35.0,2.0,1.0,9.0,1.0,,,,,6.35,6.48,4.5,2018-19
sampdoria,Belec V.,P,1.0,,,,,,,,,,6.0,6.0,,2018-19
sampdoria,Jankto J.,C,12.0,18.0,,,2.0,,,,,,5.71,5.65,-1.1,2018-19
genoa,Sanabria A.,A,13.0,14.0,3.0,,1.0,,1.0,,1.0,,5.71,6.1,5.5,2018-19
frosinone,Trotta M.,A,6.0,8.0,,,,,,,,,5.56,5.56,,2018-19
sassuolo,Rogerio O.,D,9.0,32.0,1.0,1.0,9.0,1.0,,,,,5.84,5.84,,2018-19
cagliari,Pavoletti L.,A,31.0,32.0,16.0,1.0,6.0,,,,,,6.28,7.71,45.7,2018-19
bologna,Calabresi A.,D,5.0,17.0,1.0,,8.0,,,,,,5.61,5.64,0.5,2018-19
inter,Berni T.,P,1.0,,,,,,,,,,,,,2018-19
inter,Vrsaljko S.,D,12.0,9.0,,2.0,2.0,,,,,,5.77,5.88,1.0,2018-19
fiorentina,Chiesa F.,T (C),25.0,37.0,6.0,2.0,4.0,,,,,,6.44,7.01,21.1,2018-19
parma,Iacoponi S.,D,9.0,38.0,,,4.0,,,,,,5.77,5.72,-1.9,2018-19
sampdoria,Gabbiadini M.,A,18.0,16.0,4.0,1.0,5.0,,,,,,5.93,6.59,10.5,2018-19
empoli,Caputo F.,A,26.0,38.0,16.0,3.0,3.0,,6.0,3.0,3.0,,6.09,7.15,40.3,2018-19
napoli,Younes A.,T (C),13.0,11.0,3.0,2.0,1.0,,,,,,6.04,7.13,12.0,2018-19
juventus,Bentancur R.,C,12.0,29.0,2.0,2.0,7.0,1.0,,,,,5.84,6.03,5.5,2018-19
empoli,Krunic R.,C,19.0,33.0,5.0,6.0,7.0,1.0,,,,,6.06,6.71,21.4,2018-19
spal,Petagna A.,A,29.0,36.0,16.0,,8.0,,6.0,6.0,,,6.12,7.34,43.9,2018-19
fiorentina,Ceccherini F.,D,7.0,14.0,,,3.0,,,,,,5.86,5.76,-1.5,2018-19
torino,Rosati A.,P,1.0,,,,,,,,,,,,,2018-19
chievo,Jaroszynski P.,D,6.0,18.0,,,2.0,,,,,,5.61,5.55,-1.1,2018-19
juventus,Cancelo J.,D,16.0,24.0,1.0,2.0,6.0,,,,,,6.12,6.27,3.6,2018-19
cagliari,Birsa V.,T (C),15.0,25.0,2.0,2.0,1.0,,1.0,1.0,,,5.8,6.14,8.5,2018-19
torino,Bremer G.,D,3.0,2.0,,,1.0,,,,,,5.75,5.5,-0.5,2018-19
atalanta,Hateboer H.,D,19.0,34.0,5.0,5.0,5.0,,,,,,6.1,6.83,24.8,2018-19
sassuolo,Lemos M.,D,5.0,3.0,,,,,,,,,5.16,5.16,,2018-19
torino,Djidji K.,D,8.0,16.0,,,2.0,,,,,,5.93,5.87,-1.0,2018-19
atalanta,Gollini P.,P,14.0,20.0,,,1.0,,,,,,6.17,5.1,-21.4,2018-19
spal,Antenucci M.,A,18.0,29.0,5.0,,,,2.0,1.0,1.0,,5.86,6.26,12.0,2018-19
napoli,Chiriches V.,D,5.0,2.0,,,,,,,,,6.0,6.0,,2018-19
frosinone,Capuano M.,D,6.0,27.0,,,4.0,1.0,,,,,5.62,5.51,-2.9,2018-19
juventus,Can E.,C,20.0,26.0,4.0,1.0,6.0,,1.0,1.0,,,6.11,6.57,11.9,2018-19
parma,Kucka J.,C,19.0,18.0,4.0,2.0,4.0,1.0,1.0,1.0,,,6.08,6.91,15.0,2018-19
juventus,Cuadrado J.,T (C),17.0,16.0,1.0,2.0,4.0,,,,,,5.75,5.96,3.4,2018-19
chievo,Pellissier S.,A,14.0,14.0,4.0,1.0,1.0,,2.0,1.0,1.0,,6.25,6.92,9.4,2018-19
udinese,Opoku N.,D,3.0,11.0,,,5.0,,,,,,5.5,5.27,-2.5,2018-19
lazio,Badelj M.,C,11.0,20.0,1.0,,6.0,,,,,,5.85,5.8,-1.0,2018-19
genoa,Lerager L.,C,11.0,14.0,1.0,,4.0,,,,,,5.78,5.92,2.0,2018-19
frosinone,Salamon B.,D,8.0,19.0,,,3.0,,,,,,5.92,5.84,-1.5,2018-19
genoa,Favilli A.,A,5.0,4.0,,1.0,,,,,,,5.9,6.1,1.0,2018-19
atalanta,Gomez A.,T (A),28.0,35.0,7.0,10.0,5.0,,,,,,6.48,7.4,32.2,2018-19
lazio,Strakosha T.,P,17.0,35.0,,,4.0,,,,,1.0,6.11,5.02,-38.2,2018-19
roma,Dzeko E.,A,27.0,32.0,9.0,4.0,9.0,,,,,,5.81,6.64,26.6,2018-19
roma,Schick P.,A,15.0,20.0,3.0,,3.0,,,,,,5.69,6.04,7.3,2018-19
frosinone,Paganini L.,T (C),11.0,13.0,2.0,,2.0,,,,,,6.19,6.65,6.0,2018-19
bologna,Pulgar E.,C,21.0,28.0,6.0,2.0,6.0,1.0,5.0,5.0,,,5.98,6.69,19.9,2018-19
sampdoria,Linetty K.,C,16.0,32.0,3.0,3.0,10.0,,,,,,5.95,6.26,9.9,2018-19
bologna,Lyanco S.,D,9.0,14.0,1.0,,2.0,1.0,,,,,5.92,6.1,2.5,2018-19
milan,Romagnoli A.,D,14.0,32.0,1.0,,5.0,1.0,,,,,6.07,6.1,1.0,2018-19
spal,Valoti M.,C,12.0,21.0,2.0,,6.0,,,,,,5.92,6.16,5.1,2018-19
roma,Mirante A.,P,14.0,11.0,,,,,,,,1.0,6.54,6.27,-2.9,2018-19
empoli,Farias D.,A,22.0,31.0,7.0,4.0,4.0,,,,,,6.0,6.74,22.9,2018-19
empoli,Bennacer I.,C,11.0,35.0,,2.0,7.0,,,,,,5.94,5.9,-1.4,2018-19
spal,Murgia A.,C,9.0,14.0,,3.0,1.0,,,,,,6.14,6.32,2.5,2018-19
atalanta,Ibanez -.,D,4.0,,,,,,,,,,,,,2018-19
juventus,Alex Sandro L.,D,17.0,29.0,1.0,3.0,7.0,,,,,,6.03,6.17,4.0,2018-19
milan,Abate I.,D,7.0,17.0,,,3.0,,,,,,6.0,5.91,-1.5,2018-19
empoli,La Gumina A.,A,14.0,17.0,2.0,2.0,1.0,,,,,,5.69,6.11,7.6,2018-19
frosinone,Dionisi F.,A,5.0,5.0,1.0,,1.0,,,,,,5.6,6.1,2.5,2018-19
inter,Skriniar M.,D,14.0,35.0,,,4.0,,,,,,6.04,5.92,-4.2,2018-19
milan,Bonaventura G.,C,23.0,8.0,3.0,,,,,,,,6.16,7.5,12.1,2018-19
frosinone,Gori M.,C,5.0,7.0,,,3.0,,,,,,5.92,5.71,-1.4,2018-19
udinese,Teodorczyk L.,A,13.0,12.0,1.0,,1.0,,1.0,,1.0,,5.79,5.75,-0.5,2018-19
inter,Padelli D.,P,1.0,,,,,,,,,,,,,2018-19
roma,Juan Jesus G.,D,6.0,18.0,1.0,,4.0,,,,,,5.66,5.69,0.5,2018-19
sassuolo,Ferraresi S.,D,1.0,,,,,,,,,,,,,2018-19
sampdoria,Murru N.,D,9.0,34.0,,5.0,9.0,,,,,,5.79,5.8,0.3,2018-19
inter,Miranda J.,D,9.0,14.0,,,3.0,,,,,,5.71,5.6,-1.5,2018-19
sassuolo,Ferrari G.,D,16.0,31.0,4.0,,9.0,,,,,,6.01,6.45,13.7,2018-19
sampdoria,Caprari G.,T (A),16.0,20.0,5.0,2.0,1.0,,,,,,5.87,6.82,19.0,2018-19
parma,Barilla A.,C,14.0,30.0,3.0,2.0,10.0,,,,,,6.06,6.36,9.0,2018-19
sassuolo,Odgaard J.,A,1.0,,,,,,,,,,,,,2018-19
inter,Dalbert H.,D,5.0,11.0,,1.0,2.0,,,,,,5.36,5.36,,2018-19
parma,Grassi A.,C,8.0,6.0,,,,,,,,,6.0,6.0,,2018-19
genoa,Schafer A.,C,4.0,,,,,,,,,,,,,2018-19
udinese,Musso J.,P,16.0,29.0,,,4.0,,,,,,6.27,4.82,-42.0,2018-19
fiorentina,Gillekens J.,D,1.0,,,,,,,,,,6.0,6.0,,2018-19
frosinone,Valzania L.,C,10.0,15.0,2.0,1.0,4.0,,,,,,5.93,6.4,7.0,2018-19
roma,Fuzato D.,P,1.0,,,,,,,,,,,,,2018-19
cagliari,Ionita A.,C,14.0,37.0,3.0,2.0,4.0,1.0,,,,,5.83,6.13,11.1,2018-19
milan,Mauri J.,C,4.0,3.0,,,,,,,,,6.12,6.12,,2018-19
torino,Damascan V.,A,4.0,,,,,,,,,,,,,2018-19
parma,Biabiany J.,T (C),8.0,18.0,,,4.0,,,,,,5.69,5.58,-2.0,2018-19
parma,Siligardi L.,T (A),10.0,27.0,1.0,2.0,2.0,,,,,,5.9,6.07,4.6,2018-19
cagliari,Aresti S.,P,1.0,,,,,,,,,,,,,2018-19
napoli,Ospina D.,P,12.0,17.0,,,,,,,,,6.05,4.88,-19.9,2018-19
atalanta,Berisha E.,P,15.0,18.0,,,1.0,,,,,,6.16,4.75,-25.4,2018-19
spal,Cionek T.,D,7.0,31.0,,2.0,12.0,2.0,,,,,5.69,5.5,-5.9,2018-19
spal,Felipe D.,D,15.0,28.0,3.0,1.0,13.0,,,,,,5.85,6.14,8.1,2018-19
spal,Poluzzi G.,P,1.0,,,,,,,,,,,,,2018-19
roma,Zaniolo N.,T (C),12.0,25.0,4.0,2.0,8.0,,,,,,6.16,6.64,12.0,2018-19
fiorentina,Gerson S.,T (C),11.0,35.0,3.0,3.0,8.0,,,,,,5.73,5.94,7.5,2018-19
genoa,Romero C.,D,12.0,27.0,2.0,1.0,10.0,2.0,,,,,6.08,6.19,3.1,2018-19
empoli,Acquah A.,C,12.0,22.0,2.0,,3.0,,,,,,5.88,6.18,6.6,2018-19
bologna,Santander F.,A,17.0,28.0,8.0,2.0,5.0,,,,,,5.89,6.7,23.5,2018-19
sampdoria,Ekdal A.,C,12.0,32.0,,,6.0,,,,,,6.04,5.95,-2.9,2018-19
atalanta,Barrow M.,A,13.0,15.0,1.0,,,,,,,,5.63,5.83,3.0,2018-19
udinese,Larsen J.,D,14.0,36.0,1.0,4.0,6.0,,,,,,5.97,6.12,5.4,2018-19
udinese,De Maio S.,D,8.0,21.0,1.0,,3.0,1.0,,,,,5.84,5.93,2.0,2018-19
atalanta,Pessina M.,C,5.0,5.0,,1.0,,,,,,,5.8,6.0,1.0,2018-19
milan,Strinic I.,D,4.0,,,,,,,,,,6.0,6.0,,2018-19
inter,Ranocchia A.,D,5.0,2.0,,,1.0,,,,,,6.5,6.25,-0.5,2018-19
torino,De Silvestri L.,D,18.0,31.0,2.0,4.0,2.0,,,,,,6.19,6.58,12.1,2018-19
parma,Rigoni L.,C,11.0,22.0,2.0,,5.0,,,,,,5.79,6.04,5.5,2018-19
genoa,Radu I.,P,16.0,33.0,,,,,,,,1.0,6.19,4.89,-42.9,2018-19
napoli,Mertens D.,T (A),40.0,34.0,16.0,9.0,1.0,,1.0,1.0,,,6.16,8.05,64.3,2018-19
fiorentina,Pjaca M.,T (A),11.0,13.0,1.0,,1.0,,,,,,5.57,5.78,2.9,2018-19
