Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
chievo,Spolli N.,D,6.0,21.0,,,8.0,,,,,,5.9,5.7,-4.0,2016-17
cagliari,Joao Pedro,T (C),14.0,22.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,,6.02,6.79,16.0,2016-17
palermo,Pezzella G.,D,3.0,10.0,,,1.0,,,,,,5.55,5.5,-0.5,2016-17
crotone,Capezzi L.,C,6.0,23.0,,,5.0,1.0,,,,,5.9,5.74,-3.5,2016-17
genoa,Orban L.,D,2.0,11.0,,,4.0,1.0,,,,,5.44,5.0,-5.0,2016-17
chievo,Troiani M.,D,1.0,,,,,,,,,,,,,2016-17
genoa,Perin M.,P,3.0,16.0,,,1.0,1.0,,,,1.0,6.14,4.97,-17.5,2016-17
fiorentina,Illanes J.,D,1.0,,,,,,,,,,,,,2016-17
sassuolo,Politano M.,T (C),18.0,31.0,5.0,5.0,5.0,,2.0,2.0,,,6.37,6.72,17.5,2016-17
cagliari,Ionita A.,C,11.0,17.0,3.0,1.0,5.0,,,,,,6.34,6.41,7.5,2016-17
atalanta,Caldara M.,D,17.0,30.0,7.0,,4.0,,,,,,6.27,6.9,19.0,2016-17
roma,Totti F.,A,7.0,18.0,2.0,3.0,2.0,,2.0,2.0,,,6.65,7.45,8.0,2016-17
atalanta,Petagna A.,A,18.0,33.0,5.0,5.0,2.0,,,,,,6.52,6.89,19.0,2016-17
torino,Baselli D.,C,17.0,36.0,6.0,3.0,5.0,,,,,,6.14,6.5,18.5,2016-17
napoli,Hysaj E.,D,10.0,34.0,,,8.0,,,,,,6.09,5.74,-6.0,2016-17
sampdoria,Torreira L.,C,12.0,34.0,,,7.0,,,,,,6.4,6.11,-3.5,2016-17
crotone,Rosi A.,D,8.0,29.0,1.0,1.0,12.0,,,,,,6.07,5.81,-2.0,2016-17
fiorentina,Milic H.,D,4.0,15.0,,3.0,4.0,,,,,,6.0,5.71,1.0,2016-17
atalanta,Cabezas B.,T (C),4.0,1.0,,,,,,,,,6.0,6.0,,2016-17
bologna,Helander F.,D,4.0,11.0,1.0,,3.0,,,,,,5.82,5.96,1.5,2016-17
genoa,Laxalt D.,C,12.0,35.0,1.0,3.0,5.0,,,,,,6.09,6.01,3.5,2016-17
milan,Donnarumma G.,P,21.0,36.0,,,2.0,,,,,2.0,6.6,5.32,-40.0,2016-17
fiorentina,Sanchez C.,C,7.0,29.0,1.0,,6.0,,,,,,6.02,5.82,,2016-17
torino,Rossettini L.,D,7.0,30.0,1.0,,8.0,,,,,,5.7,5.67,-1.0,2016-17
pescara,Bizzarri A.,P,4.0,27.0,,,2.0,,,,,,6.2,3.64,-67.0,2016-17
genoa,Simeone G.,A,18.0,34.0,12.0,1.0,3.0,,2.0,1.0,1.0,,5.82,6.78,32.5,2016-17
inter,Yao E.,D,4.0,,,,,,,,,,,,,2016-17
sampdoria,Muriel L.,A,18.0,30.0,11.0,4.0,4.0,1.0,4.0,4.0,,,6.35,7.24,34.0,2016-17
juventus,Alex Sandro,D,16.0,26.0,3.0,3.0,5.0,,,,,,6.42,6.45,7.5,2016-17
sassuolo,Pierini N.,T (A),1.0,,,,,,,,,,,,,2016-17
cagliari,Arras D.,A,1.0,,,,,,,,,,,,,2016-17
palermo,Diamanti A.,T (C),12.0,31.0,1.0,4.0,8.0,1.0,,,,,5.91,5.98,2.0,2016-17
fiorentina,Castrovilli G.,T (C),1.0,,,,,,,,,,,,,2016-17
sassuolo,Sarzi L.,C,1.0,,,,,,,,,,,,,2016-17
cagliari,Capuano M.,D,3.0,12.0,2.0,,,1.0,,,,,5.3,5.8,5.0,2016-17
pescara,Memushaj L.,C,10.0,34.0,1.0,2.0,3.0,,2.0,,2.0,,5.93,5.69,-2.5,2016-17
sassuolo,Iemmello P.,A,12.0,17.0,5.0,,1.0,,1.0,1.0,,,5.83,7.04,14.5,2016-17
genoa,Ninkovic N.,T (C),5.0,16.0,2.0,,2.0,,,,,,5.89,6.23,5.0,2016-17
genoa,Beghetto A.,D,4.0,3.0,,,,,,,,,6.0,6.0,,2016-17
fiorentina,Perez J.,T (A),2.0,,,,,,,,,,,6.0,,2016-17
genoa,Palladino R.,T (A),11.0,30.0,2.0,2.0,6.0,,2.0,1.0,1.0,,5.98,5.86,2.0,2016-17
palermo,Morganella M.,D,2.0,11.0,,,3.0,,,,,,5.22,5.06,-1.5,2016-17
crotone,Mesbah D.,D,4.0,9.0,,,1.0,,,,,,5.81,5.78,-0.5,2016-17
cagliari,Ceppitelli L.,D,3.0,19.0,,,5.0,,,,,,5.42,5.18,-4.5,2016-17
torino,Ljajic A.,T (C),23.0,32.0,10.0,5.0,5.0,,2.0,1.0,1.0,,6.3,7.0,29.5,2016-17
fiorentina,Babacar K.,A,19.0,21.0,10.0,1.0,,,1.0,1.0,,,5.97,7.52,31.0,2016-17
genoa,Pandev G.,A,10.0,20.0,3.0,,1.0,1.0,,,,,5.66,6.12,7.5,2016-17
pescara,Fornasier M.,D,4.0,22.0,,,4.0,,,,,,5.6,5.52,-2.0,2016-17
sampdoria,Djuricic F.,T (A),5.0,19.0,,1.0,3.0,,,,,,5.81,5.77,-0.5,2016-17
sassuolo,Cannavaro P.,D,7.0,17.0,1.0,,2.0,,,,,,6.25,6.0,2.0,2016-17
chievo,Birsa V.,T (C),20.0,34.0,7.0,9.0,5.0,,1.0,,1.0,,6.25,6.77,24.5,2016-17
cagliari,Murru N.,D,6.0,25.0,,1.0,3.0,,,,,,5.86,5.62,-0.5,2016-17
genoa,Biraschi D.,D,5.0,7.0,,,2.0,,,,,,5.83,5.69,-1.0,2016-17
bologna,Mirante A.,P,12.0,20.0,,,,,,,,1.0,6.45,4.77,-29.0,2016-17
milan,Pasalic M.,C,11.0,23.0,4.0,,5.0,,,,,,5.77,6.2,9.5,2016-17
milan,Fernandez M.,T (C),8.0,13.0,1.0,2.0,,,,,,,5.77,6.21,5.0,2016-17
empoli,Pejovic N.,D,1.0,,,,,,,,,,,,,2016-17
milan,Bacca C.,A,20.0,30.0,13.0,1.0,3.0,,6.0,4.0,2.0,,5.96,6.85,32.5,2016-17
chievo,Depaoli F.,C,3.0,6.0,,1.0,1.0,1.0,,,,,6.0,5.9,-0.5,2016-17
napoli,Diawara A.,C,7.0,18.0,,,1.0,,,,,,6.14,6.11,-0.5,2016-17
lazio,De Vrij S.,D,12.0,26.0,2.0,2.0,3.0,,,,,,6.21,6.22,6.5,2016-17
inter,Banega E.,T (C),17.0,27.0,6.0,7.0,2.0,1.0,,,,,6.04,6.75,23.0,2016-17
roma,Rudiger A.,D,9.0,26.0,,2.0,7.0,1.0,,,,,5.96,5.86,-2.5,2016-17
empoli,El Kaddouri O.,T (C),11.0,20.0,3.0,1.0,5.0,,,,,,6.03,6.53,7.5,2016-17
sampdoria,Alvarez R.,T (C),7.0,20.0,2.0,1.0,2.0,1.0,,,,,6.06,6.0,5.0,2016-17
crotone,Sampirisi M.,D,5.0,21.0,1.0,1.0,1.0,,,,,,5.61,5.8,3.5,2016-17
chievo,Cacciatore F.,D,7.0,28.0,1.0,1.0,7.0,1.0,,,,,5.95,5.72,-0.5,2016-17
chievo,Pellissier S.,A,19.0,29.0,9.0,2.0,1.0,,3.0,3.0,,,6.16,6.93,28.5,2016-17
bologna,Masina A.,D,7.0,31.0,1.0,,6.0,1.0,,,,,5.83,5.61,-1.0,2016-17
genoa,Lamanna E.,P,9.0,20.0,,,,,,,,2.0,6.18,4.43,-31.0,2016-17
napoli,Callejon J.,T (A),33.0,36.0,14.0,11.0,2.0,1.0,,,,,6.46,7.66,51.0,2016-17
atalanta,Toloi R.,D,12.0,32.0,,,7.0,,,,,,6.19,6.08,-3.5,2016-17
napoli,Granata A.,D,1.0,,,,,,,,,,,,,2016-17
palermo,Gonzalez G.,D,5.0,21.0,1.0,,7.0,2.0,,,,,5.45,5.33,-2.5,2016-17
atalanta,Mazzini S.,P,1.0,,,,,,,,,,,,,2016-17
bologna,Mbaye I.,D,3.0,15.0,,1.0,3.0,,,,,,5.5,5.23,-4.5,2016-17
empoli,Laurini V.,D,6.0,23.0,,,2.0,1.0,,,,,6.02,5.69,-2.0,2016-17
palermo,Henrique B.,C,10.0,33.0,1.0,2.0,7.0,,,,,,5.73,5.78,1.5,2016-17
cagliari,Salamon B.,D,5.0,14.0,,,1.0,,,,,,5.8,5.75,-0.5,2016-17
sassuolo,Lirola P.,D,6.0,22.0,,3.0,3.0,,,,,,5.74,5.81,1.5,2016-17
inter,Radu I.,P,1.0,,,,,,,,,,,,,2016-17
napoli,Insigne L.,T (A),44.0,36.0,18.0,7.0,2.0,,2.0,2.0,,,6.89,8.32,60.0,2016-17
pescara,Caprari G.,T (A),17.0,33.0,8.0,2.0,8.0,,3.0,1.0,2.0,,6.02,6.3,16.0,2016-17
milan,Sosa J.,T (C),5.0,17.0,,1.0,5.0,2.0,,,,,5.85,5.67,-3.5,2016-17
genoa,Izzo A.,D,6.0,28.0,,2.0,5.0,,,,,,6.11,5.74,-4.5,2016-17
roma,Salah M.,T (A),32.0,30.0,15.0,10.0,2.0,,,,,,6.48,8.02,54.0,2016-17
torino,Ajeti A.,D,4.0,4.0,1.0,,,,,,,,5.0,5.25,1.0,2016-17
bologna,Donsah G.,C,5.0,13.0,,2.0,2.0,,,,,,5.65,5.75,1.0,2016-17
bologna,Sadiq U.,A,4.0,7.0,,1.0,2.0,,,,,,5.71,5.75,,2016-17
fiorentina,Chiesa F.,T (A),11.0,26.0,3.0,2.0,3.0,1.0,,,,,6.18,6.52,8.5,2016-17
chievo,Rigoni N.,C,4.0,11.0,1.0,,2.0,,,,,,5.85,6.05,2.0,2016-17
fiorentina,Vecino M.,C,16.0,28.0,3.0,3.0,6.0,,,,,,6.02,6.33,9.0,2016-17
bologna,Valencia J.,T (A),1.0,,,,,,,,,,,,,2016-17
bologna,Di Francesco F.,T (C),13.0,23.0,4.0,2.0,3.0,1.0,,,,,6.44,6.66,11.5,2016-17
crotone,Kotnik A.,T (A),4.0,2.0,,,,,,,,,5.0,5.0,,2016-17
bologna,Rizzo L.,T (C),4.0,11.0,,,,,,,,,5.6,5.64,,2016-17
bologna,Taider S.,C,11.0,23.0,3.0,,1.0,,,,,,6.24,6.32,8.5,2016-17
fiorentina,Hagi I.,T (A),4.0,2.0,,,1.0,,,,,,6.25,6.0,-0.5,2016-17
crotone,Nalini A.,T (A),12.0,17.0,2.0,2.0,2.0,,,,,,6.25,6.7,7.0,2016-17
milan,Bonaventura G.,T (C),4.0,18.0,3.0,,3.0,,,,,,6.67,6.68,7.5,2016-17
udinese,Widmer S.,D,9.0,27.0,,4.0,2.0,,,,,,5.98,5.88,3.0,2016-17
genoa,Veloso M.,C,8.0,22.0,,2.0,6.0,1.0,,,,,6.29,5.91,-2.0,2016-17
sampdoria,Skriniar M.,D,9.0,35.0,,,5.0,1.0,,,,,5.87,5.77,-3.5,2016-17
crotone,Dos Santos C.,D,3.0,9.0,,,2.0,,,,,,5.2,5.18,-1.0,2016-17
udinese,Faraoni D.,D,3.0,5.0,,,2.0,,,,,,5.4,5.2,-1.0,2016-17
napoli,Albiol R.,D,11.0,25.0,,1.0,8.0,,,,,,6.4,6.04,-3.0,2016-17
roma,Vermaelen T.,D,3.0,8.0,,,1.0,,,,,,5.5,5.4,-0.5,2016-17
torino,Hart J.,P,10.0,36.0,,,2.0,,,,,,6.07,4.32,-63.0,2016-17
sassuolo,Matri A.,A,16.0,30.0,8.0,,1.0,,,,,,5.96,6.61,23.5,2016-17
lazio,Crecco L.,C,4.0,3.0,1.0,,,,,,,,6.25,7.75,3.0,2016-17
chievo,Inglese R.,A,22.0,33.0,10.0,4.0,,,1.0,,1.0,,6.08,6.89,31.0,2016-17
roma,Fazio F.,D,14.0,36.0,2.0,1.0,3.0,,,,,,6.2,6.18,5.5,2016-17
bologna,Torosidis V.,D,5.0,27.0,1.0,,5.0,1.0,,,,,5.48,5.48,-0.5,2016-17
genoa,Cataldi D.,C,5.0,23.0,1.0,1.0,7.0,,,,,,5.43,5.7,0.5,2016-17
pescara,Crescenzi A.,D,4.0,20.0,,1.0,1.0,,,,,,5.58,5.63,0.5,2016-17
lazio,Marchetti F.,P,4.0,16.0,,,,,,,,2.0,6.62,5.29,-16.0,2016-17
cagliari,Melchiorri F.,A,4.0,10.0,3.0,,1.0,,,,,,6.0,6.85,8.5,2016-17
sampdoria,Quagliarella F.,A,27.0,36.0,12.0,2.0,2.0,,3.0,2.0,1.0,,6.3,7.07,34.0,2016-17
atalanta,Bastoni A.,D,4.0,2.0,,,,,,,,,6.0,6.0,,2016-17
roma,Paredes L.,C,12.0,26.0,3.0,1.0,4.0,,,,,,6.36,6.81,8.0,2016-17
atalanta,Spinazzola L.,T (C),13.0,29.0,,4.0,2.0,,,,,,6.5,6.32,1.0,2016-17
inter,Gagliardini R.,C,12.0,31.0,2.0,3.0,7.0,,,,,,6.21,6.43,6.0,2016-17
chievo,Radovanovic I.,C,9.0,34.0,,,10.0,,,,,,6.17,5.83,-5.0,2016-17
sassuolo,Consigli A.,P,20.0,36.0,,,1.0,,,,,3.0,6.46,5.0,-47.5,2016-17
bologna,Da Costa A.,P,6.0,17.0,,,1.0,,,,,,6.31,4.81,-25.5,2016-17
sampdoria,Krapikas T.,P,1.0,,,,,,,,,,,,,2016-17
chievo,Seculin A.,P,2.0,4.0,,,,,,,,,6.12,3.88,-9.0,2016-17
cagliari,Tachtsidis P.,C,8.0,26.0,,4.0,5.0,,,,,,5.67,5.73,1.5,2016-17
cagliari,Barella N.,C,6.0,27.0,,2.0,9.0,1.0,,,,,6.12,5.77,-3.0,2016-17
pescara,Coda A.,D,1.0,13.0,,,6.0,1.0,,,,,5.12,4.89,-4.0,2016-17
pescara,Pepe S.,T (C),4.0,12.0,,,,,,,,,5.75,5.77,,2016-17
cagliari,Sau M.,A,18.0,33.0,7.0,2.0,5.0,,,,,,6.06,6.49,20.5,2016-17
torino,Molinaro C.,D,5.0,9.0,,2.0,2.0,,,,,,6.0,6.1,1.0,2016-17
milan,Bertolacci A.,C,5.0,15.0,1.0,,3.0,,,,,,5.88,6.0,1.5,2016-17
sassuolo,Berardi D.,T (A),14.0,20.0,5.0,5.0,6.0,,3.0,2.0,1.0,,6.52,6.88,14.0,2016-17
cagliari,Rafael A.,P,11.0,21.0,,,,,,,,3.0,6.19,5.1,-23.0,2016-17
milan,Calabria D.,D,5.0,11.0,,1.0,3.0,,,,,,5.82,5.79,-0.5,2016-17
bologna,Okonkwo O.,T (C),4.0,7.0,,1.0,1.0,,,,,,5.9,6.0,0.5,2016-17
inter,Eder C.,A,23.0,32.0,8.0,3.0,3.0,,,,,,6.26,6.9,25.5,2016-17
torino,Padelli D.,P,4.0,1.0,,,,,,,,,5.75,3.75,-4.0,2016-17
sassuolo,Duncan A.,C,8.0,20.0,1.0,,4.0,,,,,,6.36,6.08,1.0,2016-17
crotone,Ceccherini F.,D,10.0,33.0,1.0,,9.0,,,,,,6.08,5.86,-1.5,2016-17
fiorentina,Dragowski B.,P,1.0,1.0,,,,,,,,,6.0,4.67,-2.0,2016-17
genoa,Munoz E.,D,6.0,29.0,,,3.0,,,,,,5.95,5.63,-3.5,2016-17
sassuolo,Antei L.,D,4.0,14.0,1.0,,4.0,,,,,,5.75,5.82,1.0,2016-17
inter,Miranda J.,D,11.0,31.0,,,6.0,,,,,,6.31,6.02,-3.0,2016-17
fiorentina,Valero B.,C,18.0,30.0,1.0,6.0,5.0,,,,,,6.45,6.42,6.5,2016-17
juventus,Barzagli A.,D,9.0,21.0,,,2.0,,,,,,6.42,6.05,-1.0,2016-17
torino,Acquah A.,C,7.0,19.0,2.0,,2.0,3.0,,,,,5.87,6.03,2.5,2016-17
milan,Storari M.,P,4.0,14.0,,,1.0,1.0,,,,,6.32,3.4,-37.5,2016-17
palermo,Andelkovic S.,D,5.0,21.0,,1.0,3.0,,,,,,5.8,5.52,,2016-17
atalanta,Gollini P.,P,6.0,4.0,,,1.0,,,,,,6.12,5.75,-1.5,2016-17
atalanta,Grassi A.,C,8.0,18.0,1.0,,2.0,,,,,,6.07,6.2,2.0,2016-17
udinese,Gnoukouri A.,C,4.0,4.0,,,,,,,,,6.0,6.0,,2016-17
sampdoria,Palombo A.,C,4.0,4.0,,,1.0,,,,,,5.88,5.75,-0.5,2016-17
juventus,Mattiello F.,D,2.0,,,,,,,,,,,6.0,,2016-17
empoli,Dimarco F.,D,4.0,11.0,,1.0,1.0,,,,,,5.44,5.5,0.5,2016-17
juventus,Rincon T.,C,8.0,28.0,,1.0,4.0,,,,,,6.22,6.17,-1.0,2016-17
milan,Ocampos L.,T (A),12.0,24.0,3.0,1.0,5.0,,1.0,1.0,,,6.29,6.29,7.5,2016-17
juventus,Bonucci L.,D,16.0,28.0,3.0,,4.0,,,,,,6.07,6.31,7.0,2016-17
udinese,Angella G.,D,5.0,14.0,1.0,,3.0,,,,,,5.61,5.57,-0.5,2016-17
atalanta,Hateboer H.,D,4.0,6.0,,1.0,2.0,,,,,,6.17,6.17,,2016-17
atalanta,Kurtic J.,C,15.0,36.0,6.0,2.0,7.0,,,,,,6.17,6.45,16.5,2016-17
cagliari,Deiola A.,C,4.0,4.0,,,2.0,,,,,,5.83,5.5,-1.0,2016-17
sampdoria,Cigarini L.,C,4.0,4.0,,,3.0,,,,,,5.88,5.5,-1.5,2016-17
lazio,Tounkara M.,A,4.0,1.0,,,,,,,,,,,,2016-17
genoa,Taarabt A.,T (C),5.0,6.0,,1.0,,,,,,,5.9,6.1,1.0,2016-17
genoa,Lazovic D.,T (C),11.0,32.0,1.0,4.0,2.0,1.0,,,,,5.97,5.94,5.0,2016-17
torino,Zappacosta D.,D,13.0,29.0,1.0,4.0,1.0,,,,,,6.14,6.38,6.5,2016-17
roma,Gerson S.,T (A),3.0,4.0,,,1.0,,,,,,5.0,4.75,-0.5,2016-17
juventus,Matheus P.,T (C),2.0,1.0,,,,,,,,,,,,2016-17
bologna,Maietta D.,D,6.0,28.0,,1.0,7.0,,,,,,5.69,5.61,-2.5,2016-17
sassuolo,Sensi S.,C,8.0,16.0,2.0,,3.0,,,,,,6.19,6.47,4.5,2016-17
empoli,Zambelli M.,D,4.0,9.0,,,1.0,,,,,,5.61,5.56,-0.5,2016-17
torino,Carlao,D,3.0,4.0,,,1.0,,,,,,5.25,5.12,-0.5,2016-17
lazio,Patric,D,5.0,18.0,,1.0,4.0,,,,,,6.3,5.84,-1.0,2016-17
inter,Medel G.,C,9.0,25.0,,,5.0,,,,,,6.38,6.04,-2.5,2016-17
crotone,Dussenne N.,D,4.0,8.0,,,1.0,1.0,,,,,5.0,4.94,-1.5,2016-17
cagliari,Gabriel V.,P,1.0,3.0,,,1.0,,,,,,5.17,3.25,-7.5,2016-17
palermo,Rajkovic S.,D,4.0,4.0,,,,1.0,,,,,5.75,5.5,-1.0,2016-17
atalanta,Kessie F.,C,15.0,29.0,6.0,1.0,5.0,2.0,2.0,2.0,,,6.53,6.8,14.5,2016-17
napoli,Rafael C.,P,2.0,1.0,,,,,,,,,6.0,5.0,-1.0,2016-17
crotone,Rohden M.,C,11.0,33.0,1.0,4.0,4.0,,,,,,5.95,5.93,5.0,2016-17
pescara,Coulibaly M.,C,3.0,8.0,,,4.0,,,,,,5.86,5.57,-2.0,2016-17
empoli,Thiam M.,A,11.0,15.0,1.0,1.0,1.0,,,,,,5.79,6.04,3.5,2016-17
palermo,Sallai R.,T (A),4.0,20.0,1.0,,3.0,1.0,,,,,5.62,5.33,0.5,2016-17
fiorentina,Olivera M.,D,4.0,17.0,,,3.0,,,,,,5.69,5.63,-1.5,2016-17
juventus,Kean M.,A,4.0,3.0,1.0,,,,,,,,7.0,8.0,3.0,2016-17
lazio,Hoedt W.,D,5.0,23.0,2.0,,5.0,,,,,,5.87,5.93,1.5,2016-17
pescara,Fiorillo V.,P,7.0,9.0,,,,,,,,,6.17,4.55,-15.0,2016-17
udinese,Heurtaux T.,D,4.0,12.0,,,3.0,,,,,,5.81,5.61,-1.5,2016-17
inter,Perisic I.,T (C),28.0,35.0,11.0,7.0,2.0,1.0,,,,,6.31,7.19,38.0,2016-17
fiorentina,Ilicic J.,T (A),16.0,27.0,5.0,2.0,2.0,,3.0,1.0,2.0,,5.98,6.12,10.0,2016-17
roma,Rui M.,D,3.0,5.0,,,1.0,,,,,,5.25,5.12,-0.5,2016-17
juventus,Neto N.,P,7.0,8.0,,,,,,,,,6.07,5.72,-2.0,2016-17
fiorentina,Tatarusanu C.,P,13.0,34.0,,,,,,,,,6.27,4.64,-50.0,2016-17
crotone,Trotta M.,A,13.0,28.0,3.0,4.0,2.0,,1.0,1.0,,,5.79,6.24,12.0,2016-17
udinese,Evangelista L.,T (C),3.0,5.0,,,1.0,,,,,,6.17,6.0,-0.5,2016-17
inter,Murillo J.,D,8.0,26.0,,,6.0,,,,,,6.06,5.71,-3.0,2016-17
lazio,Basta D.,D,10.0,26.0,1.0,2.0,2.0,,,,,,6.08,6.0,4.0,2016-17
lazio,Murgia A.,C,6.0,14.0,2.0,,1.0,,,,,,6.0,6.55,5.5,2016-17
juventus,Buffon G.,P,20.0,28.0,,,,,,,,,6.33,5.27,-24.0,2016-17
empoli,Mchedlidze L.,A,8.0,15.0,6.0,,3.0,,1.0,,1.0,,6.07,7.04,13.5,2016-17
lazio,Immobile C.,A,39.0,35.0,23.0,3.0,5.0,,6.0,6.0,,,6.63,8.38,69.5,2016-17
crotone,Ferrari G.,D,12.0,35.0,3.0,1.0,8.0,,,,,,6.0,6.0,6.0,2016-17
crotone,Falcinelli D.,A,26.0,35.0,13.0,2.0,7.0,,2.0,2.0,,,6.2,7.24,37.5,2016-17
sampdoria,Schick P.,A,23.0,32.0,11.0,3.0,2.0,,,,,,6.09,7.23,35.0,2016-17
pescara,Biraghi C.,D,6.0,33.0,1.0,3.0,10.0,,2.0,1.0,1.0,,5.76,5.53,-2.0,2016-17
inter,Joao Mario,T (C),14.0,30.0,3.0,5.0,5.0,,,,,,5.96,6.39,11.5,2016-17
torino,Valdifiori M.,C,4.0,25.0,,,5.0,,,,,,5.91,5.8,-2.5,2016-17
napoli,Maggio C.,D,4.0,7.0,,,,,,,,,6.1,6.1,,2016-17
milan,Kucka J.,C,9.0,28.0,3.0,1.0,6.0,2.0,,,,,6.0,5.89,3.0,2016-17
lazio,Lombardi C.,A,2.0,18.0,1.0,,3.0,,,,,,5.75,5.71,-0.5,2016-17
inter,Nagatomo Y.,D,3.0,16.0,,,2.0,,,,,,5.47,5.4,-1.0,2016-17
juventus,Asamoah K.,C,7.0,16.0,,1.0,2.0,,,,,,6.5,6.09,,2016-17
bologna,Verdi S.,T (C),16.0,26.0,7.0,3.0,3.0,,,,,,6.46,7.04,22.5,2016-17
bologna,Petkovic B.,A,9.0,11.0,,,1.0,,,,,,5.67,5.6,-0.5,2016-17
atalanta,Freuler R.,C,18.0,33.0,5.0,3.0,5.0,,,,,,6.29,6.79,15.5,2016-17
pescara,Cerri A.,A,10.0,12.0,2.0,,1.0,,,,,,5.59,6.08,5.5,2016-17
napoli,Hamsik M.,C,30.0,37.0,12.0,4.0,1.0,,,,,,6.57,7.43,39.5,2016-17
atalanta,Mounier A.,T (C),4.0,11.0,,,,,,,,,5.25,5.33,,2016-17
napoli,Tonelli L.,D,4.0,3.0,2.0,,2.0,,,,,,6.17,7.83,5.0,2016-17
lazio,Lukaku J.,D,6.0,15.0,,,2.0,,,,,,6.43,5.93,-1.0,2016-17
milan,Romagnoli A.,D,11.0,25.0,1.0,1.0,4.0,1.0,,,,,6.24,6.04,1.0,2016-17
palermo,Silva S.,A,4.0,1.0,,,,,,,,,5.5,5.5,,2016-17
empoli,Mauri J.,C,5.0,14.0,,,4.0,,,,,,6.0,5.86,-2.0,2016-17
pescara,Maloku L.,D,1.0,,,,,,,,,,,6.0,,2016-17
empoli,Jakupovic A.,A,1.0,1.0,,,,,,,,,,,,2016-17
sassuolo,Gazzola M.,D,4.0,15.0,,1.0,3.0,,,,,,5.9,5.5,-0.5,2016-17
