,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
9507,18,totti francesco,roma,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
8510,18,flachi francesco,sampdoria,A,4.0,5.0,0.0,-1.0,0.0,0.0,0.0,2005-06
686,18,sicignano vincenzo,lecce,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,2005-06
8651,18,ibrahimovic zlatan,juventus,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
4323,18,biondini davide,reggina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3701,18,ujfalusi tomas,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
56,18,amelia marco,livorno,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
597,18,pavarini nicola,reggina,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
3445,18,samuel walter,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4218,18,aquilani alberto,roma,C,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,2005-06
9478,18,toni luca,fiorentina,A,7.0,6.0,0.0,0.0,0.0,0.0,1.0,2005-06
4256,18,barone simone,palermo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
9423,18,tavano francesco,empoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8586,18,gilardino alberto,milan,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
8735,18,kutuzov vitalii,sampdoria,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4458,18,brighi matteo,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9527,18,trezeguet david,juventus,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
137,18,benussi francesco,lecce,P,4.5,5.5,-1.0,0.0,0.0,0.0,0.0,2005-06
85,18,antonioli francesco,sampdoria,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,2005-06
150,18,berti gianluca,empoli,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,2005-06
9400,18,tare igli,lazio,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
3840,18,zaccardo cristian,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3791,18,vargas jorge,livorno,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
14,18,abbiati christian,juventus,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,2005-06
3743,18,valdez,treviso,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8694,18,konan haouliais axel cedr,lecce,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
725,18,storari marco,messina,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
3695,18,tudor igor,siena,D,7.5,7.5,0.0,0.0,0.0,0.0,0.0,2005-06
8770,18,langella antonio,cagliari,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,2005-06
637,18,peruzzi angelo,lazio,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
