,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
9280,26,iaquinta,juventus,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9248,26,giuly,roma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5282,26,dabo,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
7064,26,montolivo,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4963,26,cascione,reggina,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
1116,26,bianco,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8193,26,vieira,inter,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1040,26,belleri,atalanta,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
6128,26,grella,torino,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
2494,26,kroldrup,fiorentina,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
7781,26,santana,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1832,26,de rosa,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
744,26,scarpi,genoa,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9613,26,martinez j,catania,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
1654,26,comotto,torino,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2007-08
3457,26,radu,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5264,26,d'agostino g,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4979,26,caserta,palermo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1147,26,biava,palermo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9062,26,esposito,roma,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2007-08
3984,26,tosto,empoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
2889,26,materazzi,inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
2684,26,lucarelli a,genoa,D,8.5,5.5,3.0,0.0,0.0,0.0,0.0,0.0,2007-08
9585,26,makinwa,reggina,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8858,26,crespo,inter,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8036,26,tissone,atalanta,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1577,26,cirillo,reggina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
973,26,balzaretti,palermo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
9513,26,lavezzi,napoli,A,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1852,26,del grosso,cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9103,26,floccari,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5062,26,codrea,siena,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
7151,26,morrone,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4678,26,bogliacino,napoli,C,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
7175,26,mudingayi,lazio,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
8280,26,zanetti c,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4933,26,camoranesi,juventus,C,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2007-08
231,26,castellazzi,sampdoria,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2007-08
1017,26,barzagli,palermo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8221,26,vigiani,reggina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5592,26,doni c,atalanta,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
7988,26,tedesco gia,catania,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
6057,26,giovinco,empoli,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
3975,26,tonetto,roma,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9214,26,gilardino,milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
2512,26,lanna,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
2852,26,marzoratti,empoli,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
7813,26,seedorf,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
6485,26,kharja,siena,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2007-08
5851,26,foggia,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9855,26,paloschi,milan,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
688,26,polito,catania,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2007-08
9035,26,diamanti,livorno,A,10.0,7.5,3.0,-0.5,0.0,0.0,0.0,0.0,2007-08
5581,26,donadel,fiorentina,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
657,26,novakovic,reggina,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5645,26,emerson,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
500,26,handanovic,udinese,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4365,26,ambrosini,milan,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
