,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
6873,27,lukic s,torino,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3424,27,murru n,sampdoria,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2893,27,laurini v,parma,D,8.5,7.0,0.0,-0.5,0.0,0.0,0.0,2.0,2019-20
2910,27,lirola p,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7207,27,missiroli s,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5444,27,chiesa f,fiorentina,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2619,27,ibanez r,roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2608,27,iacoponi s,parma,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1607,27,conti a,milan,D,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
7124,27,meite s,torino,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2389,27,ghoulam f,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7115,27,medel g,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5339,27,cassata f,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5319,27,candreva a,inter,C,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
5418,27,cataldi d,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7083,27,matuidi b,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2311,27,gabbia m,milan,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
973,27,augello t,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2186,27,empereur a,verona,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2460,27,gosens r,atalanta,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
7889,27,rog m,cagliari,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1616,27,criscito d,genoa,D,2.5,5.5,0.0,0.0,0.0,-3.0,0.0,0.0,2019-20
2521,27,hateboer h,atalanta,D,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
7190,27,milinkovic s,lazio,C,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2285,27,ferrari g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2552,27,hernandez t,milan,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7029,27,mandragora r,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2572,27,hysaj e,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7871,27,rincon t,torino,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7009,27,mancosu m,lecce,C,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1181,27,biraschi d,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1641,27,dalbert h,fiorentina,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5227,27,brugman g,parma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3192,27,martella b,brescia,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5567,27,cristante b,roma,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
2935,27,lucioni f,lecce,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6667,27,lazovic d,verona,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1275,27,bremer g,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3216,27,masiello a,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5076,27,bjarnason b,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5035,27,birsa v,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2103,27,djimsiti b,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5025,27,biglia l,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3255,27,mateju a,brescia,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3272,27,mattiello f,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1289,27,cacciatore f,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3302,27,meccariello b,lecce,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1295,27,caceres m,fiorentina,D,3.5,4.5,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
6589,27,kurtic j,parma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3350,27,milenkovic n,fiorentina,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4997,27,bernardeschi f,juventus,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
3355,27,moses v,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1694,27,danilo ds,juventus,D,3.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
6539,27,kulusevski d,parma,C,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
3378,27,muldur m,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6527,27,kucka j,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2066,27,dimarco f,verona,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1137,27,bereszynski b,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6691,27,lazzari m,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4506,27,yoshida m,sampdoria,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7819,27,ramsey a,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5116,27,bonaventura g,milan,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5545,27,costa do,juventus,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5511,27,correa j,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7238,27,mkhitaryan h,roma,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3044,27,lykogiannis c,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3004,27,lukaku j,lazio,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3055,27,magnani g,sassuolo,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5091,27,boga j,sassuolo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6802,27,lobotka s,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6779,27,linetty k,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3082,27,maksimovic n,napoli,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6817,27,locatelli m,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6761,27,leris m,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1249,27,bonucci l,juventus,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
