giocatore;ruolo;squadra;pr;fv;fv_hat;metric;metric_norm;q
meite s;C;milan;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
portanova m;C;juventus;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
melegoni f;C;genoa;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
berenguer a;C;torino;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
makengo jv;C;udinese;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
anderson d;C;lazio;10,526315789473685;5,25;0,27631578947368424;2,908587257617729;0,07894736842105265;0
diawara a;C;roma;10,526315789473685;5,25;0,27631578947368424;2,908587257617729;0,07894736842105265;0
pereiro g;C;cagliari;10,526315789473685;5,0;0,2631578947368421;2,770083102493075;0,07518796992481204;0
eysseric v;C;fiorentina;10,526315789473685;5,0;0,2631578947368421;2,770083102493075;0,07518796992481204;0
strootman k;C;genoa;5,2631578947368425;6,5;0,34210526315789475;1,8005540166204987;0,04887218045112783;0
ciciretti a;C;napoli;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
gomelt t;C;crotone;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
ounas a;C;napoli;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
khedira s;C;juventus;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
palumbo m;C;udinese;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
baselli d;C;torino;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
traore am;C;atalanta;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
jajalo m;C;udinese;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
duncan a;C;cagliari;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
saponara r;C;fiorentina;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
sprocati m;C;parma;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
